index,duration,content,startOfParagraph,startTime,ID
279,2620,Quand mon premier livre  pour enfants a été publié,True,900,2062
280,773,"en 2001,",False,3520,2062
281,2213,je suis retourné dans  mon ancienne école primaire,False,4293,2062
282,1940,pour parler aux élèves  du fait d'être un auteur,False,6506,2062
283,1716,"et un illustrateur,",False,8446,2062
284,2733,et pendant que j'installais mon projecteur,False,10162,2062
285,3205,"dans le réfectoire,",False,12895,2062
286,2048,"j'ai regardé de l'autre côté de la salle,",False,16100,2062
287,2611,et elle était là .,False,18148,2062
288,1844,mon ancienne serveuse de cantine.,False,20759,2062
289,1967,Elle était encore là dans l'école,False,22603,2062
290,2886,et elle s'affairait à préparer  les repas de la journée.,False,24570,2062
291,1644,"Donc je suis allé vers elle  pour lui dire bonjour,",False,27456,2062
292,1887,"et je lui ai dit .   Salut, Jeannie . Comment vas-tu . ",False,29100,2062
293,1570,"Et elle m'a regardé, et je devinais",False,30987,2062
294,1727,qu'elle me reconnaissait,False,32557,2062
295,3085,"mais elle ne pouvait pas tout à fait me situer, puis elle m'a regardé et m'a dit .",False,34284,2062
296,2761, Stephen Krosoczka . ,False,37369,2062
297,2142,"Et j'étais impressionné qu'elle sache que j'étais un Krosoczka,",False,40130,2062
298,3431,"mais Stephen est mon oncle qui est 20 ans plus vieux que moi,",False,42272,2062
299,3137,et elle avait été sa serveuse  de cantine quand il était enfant.,False,45703,2062
300,2505,"Elle a commencé à me parler  de ses petits-enfants,",False,48840,2062
301,2705,et ça m'a abasourdi.,False,51345,2062
302,1794,"Ma serveuse de cantine  avait des petits-enfants,",False,54050,2062
303,964,"et donc des enfants,",False,55844,2062
304,3255,et donc elle quittait l'école à la fin de la journée .,False,56808,2062
305,1743,Je pensais qu'elle vivait  dans la cafétéria,False,60063,2062
306,873,avec les cuillères de service.,False,61806,2062
307,1943,Je n'avais jamais réfléchi à tout ça avant.,False,62679,2062
308,3732,"Eh bien, cette rencontre chanceuse a inspiré mon imagination,",True,64622,2062
309,3551,"et j'ai créé la série de romans illustrés  La serveuse de la Cantine ,",False,68354,2062
310,2177,une série de BD sur  une serveuse de cantine,False,71905,2062
